SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
6/30/70,72.72,,,,,,,,6/29/12,590.1726,,6/29/12,2231.9449,,,,,,,,,
7/31/70,78.05,,,,,,,,7/31/12,563.8832,,7/31/12,2257.2913,,,,,,,,,
8/31/70,81.52,,,,,,,,8/31/12,561.2298,,8/31/12,2318.0762,,,,,,,,,
9/30/70,84.21,,,,,,,,9/28/12,571.0315,,9/28/12,2387.37,,,,,,,,,
10/30/70,83.25,,,,,,,,10/31/12,575.7402,,10/31/12,2407.3898,,,,,,,,,
11/30/70,87.2,,,,,,,,11/30/12,608.1094,,11/30/12,2465.5641,,,,,,,,,
12/31/70,92.15,,,,,,,,12/31/12,671.4011,,12/31/12,2544.6607,,,,,,,,,
1/29/71,95.88,,,,,,,,1/31/13,734.6582,,1/31/13,2679.0853,,,,,,,,,
2/26/71,96.75,,,,,,,,2/28/13,762.5246,,2/28/13,2654.3525,,,,,,,,,
3/31/71,100.31,,,,,,,,3/29/13,816.4239,,3/29/13,2678.1362,,,,,,,,,
4/30/71,103.95,,,,,,,,4/30/13,919.7976,,4/30/13,2818.144,,,,,,,,,
5/31/71,99.63,,,,,,,,5/31/13,898.9883,,5/31/13,2753.5033,,,,,,,,,
6/30/71,99.7,,,,,,,,6/28/13,899.8742,,6/28/13,2656.4151,,,,,,,,,
7/30/71,95.58,,,,,,,,7/31/13,896.3733,,7/31/13,2797.5096,,,,,,,,,
8/31/71,99.03,,,,,,,,8/30/13,874.9524,,8/30/13,2761.1647,,,,,,,,,
9/30/71,98.34,,,,,,,,9/30/13,949.4911,,9/30/13,2966.3571,,,,,,,,,
10/29/71,94.23,,,,,,,,10/31/13,949.1845,,10/31/13,3066.3584,,,,,,,,,
11/30/71,93.99,,,,,,,,11/29/13,1004.6298,,11/29/13,3089.7766,,,,,,,,,
12/31/71,102.09,,,,,,,,12/31/13,1039.9219,,12/31/13,3136.5128,,,,,,,,,
1/31/72,103.94,,,,,,,,1/31/14,970.1302,,1/31/14,3011.1264,,,,,,,,,
2/29/72,106.57,,,,,,,,2/28/14,965.684,,2/28/14,3179.1534,,,,,,,,,
3/31/72,107.2,,,,,,,,3/31/14,964.1537,,3/31/14,3161.8064,,,,,,,,,
4/28/72,107.67,,,,,,,,4/30/14,931.5502,,4/30/14,3208.8141,,,,,,,,,
5/31/72,109.53,,,,,,,,5/30/14,964.609,,5/30/14,3264.1486,,,,,,,,,
6/30/72,107.14,,,,,,,,6/30/14,1010.8154,,6/30/14,3296.1942,,,,,,,,,
7/31/72,107.39,,,,,,,,7/31/14,1032.0257,,7/31/14,3232.8865,,,,,,,,,
8/31/72,111.09,,,,,,,,8/29/14,1019.965,,8/29/14,3228.1722,,,,,,,,,
9/29/72,110.55,,,,,,,,9/30/14,1069.3552,,9/30/14,3104.4296,,,,,,,,,
