SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
1/31/45,13.47,,2/29/12,127.7094,,1/31/05,335.6714,,1/30/87,1058.4121,,1/30/87,679.52,,,,,1/31/05,373.8069,,1/31/96,320.1577
2/28/45,14.3,,3/30/12,127.6189,,2/28/05,347.4127,,2/27/87,1071.7058,,2/27/87,699.19,,,,,2/28/05,394.1046,,2/29/96,330.2879
3/30/45,13.61,,4/30/12,121.3288,,3/31/05,339.9558,,3/31/87,1133.9722,,3/31/87,755.78,,,,,3/31/05,375.983,,3/29/96,336.7306
4/30/45,14.84,,5/31/12,113.2671,,4/29/05,332.6823,,4/30/87,1263.0214,,4/30/87,834.98,,,,,4/29/05,371.1176,,4/30/96,354.841
5/31/45,15.01,,6/29/12,120.48,,5/31/05,339.1204,,5/29/87,1288.4979,,5/29/87,834.24,,,,,5/31/05,381.6312,,5/31/96,369.1029
6/29/45,14.87,,7/31/12,124.0146,,6/30/05,342.7244,,6/30/87,1217.0872,,6/30/87,806.92,,,,,6/30/05,393.0817,,6/28/96,354.0703
7/31/45,14.66,,8/31/12,129.0144,,7/29/05,355.4763,,7/31/87,1198.0309,,7/31/87,804.78,,,,,7/29/05,418.5681,,7/31/96,323.1409
8/31/45,15.51,,9/28/12,130.7082,,8/31/05,358.3952,,8/31/87,1276.3202,,8/31/87,864.37,,,,,8/31/05,406.5787,,8/30/96,341.908
9/28/45,16.05,,10/31/12,132.8894,,9/30/05,369.2684,,9/30/87,1268.4691,,9/30/87,850.02,,,,,9/30/05,428.7412,,9/30/96,355.2239
10/31/45,16.65,,11/30/12,136.6412,,10/31/05,359.384,,10/30/87,1108.3105,,10/30/87,730.11,,,,,10/31/05,400.6087,,10/31/96,349.6532
11/30/45,17.19,,12/31/12,139.9207,,11/30/05,372.6711,,11/30/87,1101.308,,11/30/87,736.46,,,,,11/30/05,430.1231,,11/29/96,363.9873
12/31/45,17.36,,1/31/13,144.1736,,12/30/05,381.9965,,12/31/87,1024.0121,,12/31/87,757.45,,,,,12/30/05,458.3567,,12/31/96,373.3119
1/31/46,18.57,,2/28/13,143.0119,,1/31/06,400.8251,,1/29/88,1134.7341,,1/29/88,770.13,,,,,1/31/06,490.6477,,1/31/97,380.6994
2/28/46,17.28,,3/29/13,143.191,,2/28/06,400.3918,,2/29/88,1226.2058,,2/29/88,820.63,,,,,2/28/06,490.4393,,2/28/97,371.4627
3/29/46,18.04,,4/30/13,147.6436,,3/31/06,409.0904,,3/31/88,1275.0261,,3/31/88,870.17,,,,,3/31/06,499.5557,,3/31/97,353.9801
4/30/46,18.76,,5/31/13,153.0115,,4/28/06,423.0201,,4/29/88,1295.1165,,4/29/88,881.86,,,,,4/28/06,533.3428,,4/30/97,354.7996
5/31/46,19.18,,6/28/13,144.7644,,5/31/06,406.7275,,5/31/88,1238.1493,,5/31/88,852.69,,,,,5/31/06,493.6538,,5/30/97,394.3591
6/28/46,18.43,,7/31/13,154.1179,,6/30/06,406.7129,,6/30/88,1272.025,,6/30/88,829.33,,,,,6/30/06,491.9573,,6/30/97,411.0986
7/31/46,17.96,,8/30/13,152.5373,,7/31/06,409.5526,,7/29/88,1320.4342,,7/29/88,854.47,,,,,7/31/06,492.7304,,7/31/97,430.2655
8/30/46,16.65,,9/30/13,161.7495,,8/31/06,420.3474,,8/31/88,1256.3333,,8/31/88,798.04,,,,,8/31/06,510.1225,,8/29/97,439.9782
9/30/46,14.96,,10/31/13,170.6006,,9/29/06,425.3724,,9/30/88,1291.1753,,9/30/88,832.02,,,,,9/29/06,527.9047,,9/30/97,472.1174
10/31/46,14.84,,11/29/13,172.8741,,10/31/06,441.4417,,10/31/88,1300.6542,,10/31/88,902.29,,,,,10/31/06,543.924,,10/31/97,451.1491
11/29/46,14.68,,12/31/13,174.3346,,11/30/06,454.1225,,11/30/88,1381.2676,,11/30/88,955.06,,,,,11/30/06,585.7022,,11/28/97,448.0833
12/31/46,15.3,,1/31/14,170.6257,,12/29/06,464.4664,,12/30/88,1422.8652,,12/30/88,959.4,,,,,12/29/06,613.0105,,12/31/97,456.1302
1/31/47,15.66,,2/28/14,178.7848,,1/31/07,469.1331,,1/31/89,1480.8015,,1/31/89,975.35,,,,,1/31/07,605.2031,,1/30/98,449.1918
2/28/47,15.43,,3/31/14,179.4087,,2/28/07,466.8474,,2/28/89,1472.3499,,2/28/89,979.41,,,,,2/28/07,603.9817,,2/27/98,482.8821
3/31/47,15.17,,4/30/14,181.5928,,3/30/07,476.4393,,3/31/89,1486.0664,,3/31/89,959.23,,,,,3/30/07,617.2734,,3/31/98,503.1787
4/30/47,14.58,,5/30/14,186.8286,,4/30/07,497.818,,4/28/89,1488.2212,,4/28/89,967.15,,,,,4/30/07,644.8672,,4/30/98,505.9556
5/30/47,14.45,,6/30/14,185.3663,,5/31/07,513.1063,,5/31/89,1511.2833,,5/31/89,913.6,,,,,5/31/07,681.8642,,5/29/98,478.9048
6/30/47,15.21,,7/31/14,179.2343,,6/29/07,511.8192,,6/30/89,1446.8268,,6/30/89,897.3,,,,,6/29/07,716.8606,,6/30/98,480.3473
7/31/47,15.76,,8/29/14,182.1558,,7/31/07,504.1191,,7/31/89,1560.8292,,7/31/89,1008.99,,,,,7/31/07,768.8604,,7/31/98,441.1997
8/29/47,15.32,,9/30/14,183.7242,,8/31/07,502.9461,,8/31/89,1533.3754,,8/31/89,962.66,,,,,8/31/07,758.9387,,8/31/98,355.7135
9/30/47,15.11,,,,,9/28/07,530.0867,,9/29/89,1574.8687,,9/29/89,1005.5,,,,,9/28/07,851.3621,,9/30/98,383.2738
10/31/47,15.43,,,,,10/31/07,550.8567,,10/31/89,1567.5258,,10/31/89,964.1,,,,,10/31/07,942.2285,,10/30/98,399.0484
11/28/47,14.98,,,,,11/30/07,526.996,,11/30/89,1647.804,,11/30/89,1011.55,,,,,11/30/07,861.7949,,11/30/98,420.1833
12/31/47,15.3,,,,,12/31/07,521.4679,,12/29/89,1657.9664,,12/29/89,1047.86,,,,,12/31/07,860.9743,,12/31/98,446.4213
1/30/48,14.68,,,,,1/31/08,478.8859,,1/31/90,1563.6498,,1/31/90,1007.8,,,,,1/31/08,740.9541,,1/29/99,452.286
2/27/48,13.93,,,,,2/29/08,480.3991,,2/28/90,1444.7024,,2/28/90,936.39,,,,,2/29/08,783.0709,,2/26/99,415.791
3/31/48,15.08,,,,,3/31/08,473.6973,,3/30/90,1234.9102,,3/30/90,837.74,,,,,3/31/08,735.2268,,3/31/99,422.1435
4/30/48,15.48,,,,,4/30/08,500.4139,,4/30/90,1257.13,,4/30/90,830,,,,,4/30/08,795.022,,4/30/99,459.8915
5/31/48,16.69,,,,,5/30/08,508.8123,,5/31/90,1378.0056,,5/31/90,923.6,,,,,5/30/08,768.5111,,5/31/99,466.6201
6/30/48,16.74,,,,,6/30/08,467.243,,6/29/90,1306.8834,,6/29/90,914.3,,,,,6/30/08,677.3836,,6/30/99,487.4687
7/30/48,15.85,,,,,7/31/08,455.2371,,7/31/90,1243.2509,,7/31/90,925.96,,,,,7/31/08,671.765,,7/30/99,474.1434
8/31/48,15.97,,,,,8/29/08,445.617,,8/31/90,1100.6755,,8/31/90,834.82,,,,,8/29/08,625.7498,,8/31/99,456.7424
9/30/48,15.49,,,,,9/30/08,390.1806,,9/28/90,884.4426,,9/28/90,717.24,,,,,9/30/08,522.3427,,9/30/99,456.7871
10/29/48,16.5,,,,,10/31/08,312.9664,,10/31/90,1032.3291,,10/31/90,827.71,,,,,10/31/08,396.7391,,10/29/99,458.6579
11/30/48,14.75,,,,,11/28/08,292.7048,,11/30/90,933.2761,,11/30/90,777.6,,,,,11/28/08,375.4467,,11/30/99,486.4525
12/31/48,15.2,,,,,12/31/08,303.4752,,12/31/90,995.7686,,12/31/90,788.98,,,,,12/31/08,413.7423,,12/31/99,541.4364
1/31/49,15.22,,,,,1/30/09,277.6142,,1/31/91,992.304,,1/31/91,813.17,,,,,1/30/09,390.6716,,1/31/00,532.6361
2/28/49,14.62,,,,,2/27/09,250.6541,,2/28/91,1123.214,,2/28/91,899.06,,,,,2/27/09,364.9721,,2/29/00,620.6352
3/31/49,15.06,,,,,3/31/09,271.5105,,3/29/91,1116.7034,,3/29/91,843.88,,,,,3/31/09,415.3683,,3/31/00,579.8191
4/29/49,14.71,,,,,4/30/09,303.7464,,4/30/91,1113.6244,,4/30/91,851.01,,,,,4/30/09,484.9095,,4/28/00,544.8934
5/31/49,14.19,,,,,5/29/09,334.2786,,5/31/91,1118.7573,,5/31/91,858.71,,,,,5/29/09,562.7637,,5/31/00,513.1031
6/30/49,14.16,,,,,6/30/09,332.5487,,6/28/91,1034.4823,,6/28/91,794.46,,,,,6/30/09,560.2203,,6/30/00,557.966
7/29/49,15.04,,,,,7/31/09,361.8746,,7/31/91,1065.3898,,7/31/91,832.3,,,,,7/31/09,633.3246,,7/31/00,540.5151
8/31/49,15.22,,,,,8/31/09,374.946,,8/30/91,1000.8173,,8/30/91,814.18,,,,,8/31/09,612.8721,,8/31/00,581.5091
9/30/49,15.58,,,,,9/30/09,392.2372,,9/30/91,1055.7377,,9/30/91,858.85,,,,,9/30/09,667.02,,9/29/00,564.2967
10/31/49,16.04,,,,,10/30/09,386.2614,,10/31/91,1087.3885,,10/31/91,869.77,,,,,10/30/09,663.5235,,10/31/00,539.1398
11/30/49,16.06,,,,,11/30/09,402.3229,,11/29/91,1000.6669,,11/29/91,827.91,,,,,11/30/09,681.3292,,11/30/00,483.8263
12/30/49,16.79,,,,,12/31/09,410.8454,,12/31/91,991.06,,12/31/91,869.35,,,,,12/31/09,712.5556,,12/29/00,525.3712
1/31/50,17.05,,,,,1/29/10,393.1505,,1/31/92,947.403,,1/31/92,849.52,,,,,1/29/10,668.9843,,1/31/01,552.7077
2/28/50,17.22,,,,,2/26/10,398.2773,,2/28/92,895.1308,,2/28/92,817.86,,,,,2/26/10,671.7543,,2/28/01,516.4818
3/31/50,17.29,,,,,3/31/10,424.0804,,3/31/92,821.9455,,3/31/92,762.62,,,,,3/31/10,720.4337,,3/30/01,491.2334
4/28/50,17.96,,,,,4/30/10,425.0056,,4/30/92,772.1456,,4/30/92,764.95,,,,,4/30/10,735.3102,,4/30/01,529.6193
5/31/50,18.78,,,,,5/31/10,385.1149,,5/29/92,798.0703,,5/29/92,814.85,,,,,5/31/10,674.1908,,5/31/01,542.5915
6/30/50,17.69,,,,,6/30/10,373.4679,,6/30/92,714.7498,,6/30/92,774.89,,,,,6/30/10,685.7872,,6/29/01,561.0915
7/31/50,17.84,,,,,7/30/10,403.9326,,7/31/92,712.7632,,7/31/92,753.7,,,,,7/30/10,725.9153,,7/31/01,531.0316
8/31/50,18.42,,,,,8/31/10,389.9788,,8/31/92,811.1379,,8/31/92,799.58,,,,,8/31/10,717.7209,,8/31/01,513.8974
9/29/50,19.45,,,,,9/30/10,427.435,,9/30/92,770.5784,,9/30/92,782.45,,,,,9/30/10,798.8846,,9/28/01,444.703
10/31/50,19.53,,,,,10/29/10,443.0235,,10/30/92,755.4023,,10/30/92,740.17,,,,,10/29/10,819.891,,10/31/01,470.737
11/30/50,19.51,,,,,11/30/10,433.369,,11/30/92,782.7151,,11/30/92,745.94,,,,,11/30/10,807.9249,,11/30/01,507.1701
12/29/50,20.43,,,,,12/31/10,465.3464,,12/31/92,771.3267,,12/31/92,748.62,,,,,12/31/10,854.2467,,12/31/01,538.478
1/31/51,21.66,,,,,1/31/11,472.704,,1/29/93,767.8206,,1/29/93,747.35,,,,,1/31/11,845.2698,,1/31/02,532.9111
2/28/51,21.8,,,,,2/28/11,486.6566,,2/26/93,757.5621,,2/26/93,768.77,,,,,2/28/11,811.9779,,2/28/02,518.3161
3/30/51,21.48,,,,,3/31/11,486.3633,,3/31/93,840.9067,,3/31/93,834.6,,,,,3/31/11,862.9911,,3/29/02,559.9648
4/30/51,22.43,,,,,4/29/11,506.3951,,4/30/93,955.5483,,4/30/93,912.59,,,,,4/29/11,895.6866,,4/30/02,565.0488
5/31/51,21.52,,,,,5/31/11,495.8868,,5/31/93,947.5857,,5/31/93,930.65,,,,,5/31/11,883.6069,,5/31/02,539.9984
6/29/51,20.96,,,,,6/30/11,488.2534,,6/30/93,920.9756,,6/30/93,914.94,,,,,6/30/11,863.5511,,6/28/02,513.1406
7/31/51,22.4,,,,,7/29/11,480.4655,,7/30/93,969.0563,,7/30/93,945.8,,,,,7/29/11,874.068,,7/31/02,435.6438
8/31/51,23.28,,,,,8/31/11,445.5321,,8/31/93,990.6713,,8/31/93,995.68,,,,,8/31/11,787.9784,,8/30/02,434.5123
9/28/51,23.26,,,,,9/30/11,403.6833,,9/30/93,952.6638,,9/30/93,972.07,,,,,9/30/11,684.3546,,9/30/02,403.3289
10/31/51,22.94,,,,,10/31/11,446.9572,,10/29/93,970.5436,,10/29/93,1000.85,,,,,10/31/11,766.51,,10/31/02,416.231
11/30/51,22.88,,,,,11/30/11,433.8358,,11/30/93,814.4597,,11/30/93,912.19,,,,,11/30/11,702.7823,,11/29/02,453.341
12/31/51,23.77,,,,,12/30/11,433.1806,,12/31/93,859.5991,,12/31/93,976.9,,,,,12/30/11,708.5045,,12/31/02,428.1527
1/31/52,24.14,,,,,1/31/12,458.4199,,1/31/94,974.6282,,1/31/94,1058.3101,,,,,1/31/12,784.2317,,1/31/03,416.3155
2/29/52,23.26,,,,,2/29/12,481.6716,,2/28/94,973.3032,,2/28/94,1054.1801,,,,,2/29/12,830.629,,2/28/03,403.7356
3/31/52,24.37,,,,,3/30/12,485.1124,,3/31/94,918.6581,,3/31/94,1007.54,,,,,3/30/12,804.576,,3/31/03,408.9235
4/30/52,23.32,,,,,4/30/12,479.7363,,4/29/94,945.5458,,4/29/94,1049.0699,,,,,4/30/12,804.8281,,4/30/03,447.6804
5/30/52,23.86,,,,,5/31/12,437.1628,,5/31/94,995.9649,,5/31/94,1041.8199,,,,,5/31/12,727.8486,,5/30/03,495.6918
6/30/52,24.96,,,,,6/29/12,459.0687,,6/30/94,984.6078,,6/30/94,1055.28,,,,,6/29/12,749.7846,,6/30/03,504.6865
7/31/52,25.4,,,,,7/31/12,465.4735,,7/29/94,963.5098,,7/29/94,1064.17,,,,,7/31/12,769.8312,,7/31/03,536.2359
8/29/52,25.03,,,,,8/31/12,475.842,,8/31/94,969.6107,,8/31/94,1088.09,,,,,8/31/12,766.1653,,8/29/03,560.7931
9/30/52,24.54,,,,,9/28/12,491.0075,,9/30/94,933.8404,,9/30/94,1052.51,,,,,9/28/12,819.9999,,9/30/03,550.4512
10/31/52,24.52,,,,,10/31/12,487.8849,,10/31/94,939.4027,,10/31/94,1086.22,,,,,10/31/12,817.7979,,10/31/03,596.6532
11/28/52,25.66,,,,,11/30/12,494.3453,,11/30/94,910.0737,,11/30/94,1032.7,,,,,11/30/12,840.3938,,11/28/03,617.751
12/31/52,26.57,,,,,12/31/12,505.9671,,12/30/94,927.6866,,12/30/94,1037.86,,,,,12/31/12,868.2778,,12/31/03,630.4592
1/30/53,26.38,,,,,1/31/13,529.3548,,1/31/95,865.9425,,1/31/95,996.6861,,,,,1/31/13,882.1712,,1/30/04,657.8175
2/27/53,25.9,,,,,2/28/13,529.473,,2/28/95,805.0907,,2/28/95,993.1982,,,,,2/28/13,880.6269,,2/27/04,663.742
3/31/53,25.29,,,,,3/29/13,539.4431,,3/31/95,788.6821,,3/31/95,1057.0482,,,,,3/29/13,863.3076,,3/31/04,669.8346
4/30/53,24.62,,,,,4/30/13,554.979,,4/28/95,803.9264,,4/28/95,1096.6012,,,,,4/30/13,878.3941,,4/30/04,635.6935
5/29/53,24.54,,,,,5/31/13,553.9392,,5/31/95,759.2494,,5/31/95,1085.8887,,,,,5/31/13,867.3518,,5/31/04,645.7974
6/30/53,24.14,,,,,6/28/13,537.9698,,6/30/95,724.789,,6/30/95,1067.9914,,,,,6/28/13,817.8333,,6/30/04,672.9848
7/31/53,24.75,,,,,7/31/13,563.9492,,7/31/95,810.9797,,7/31/95,1134.0702,,,,,7/31/13,833.0707,,7/30/04,627.6866
8/31/53,23.32,,,,,8/30/13,552.4768,,8/31/95,865.6414,,8/31/95,1090.3611,,,,,8/30/13,820.7352,,8/31/04,624.4194
9/30/53,23.35,,,,,9/30/13,581.2443,,9/29/95,881.3392,,9/29/95,1112.8877,,,,,9/30/13,865.3132,,9/30/04,653.7276
10/30/53,24.54,,,,,10/31/13,604.7444,,10/31/95,861.9051,,10/31/95,1082.0987,,,,,10/31/13,903.2079,,10/29/04,666.5864
11/30/53,24.76,,,,,11/29/13,613.5075,,11/30/95,906.1168,,11/30/95,1111.695,,,,,11/29/13,904.7536,,11/30/04,724.2314
12/31/53,24.81,,,,,12/31/13,624.3927,,12/29/95,967.3588,,12/29/95,1156.0015,,,,,12/31/13,896.715,,12/31/04,745.5994
1/29/54,26.08,,,,,1/31/14,599.5541,,1/31/96,989.0428,,1/31/96,1159.9261,,,,,1/31/14,851.1238,,1/31/05,714.4655
2/26/54,26.15,,,,,2/28/14,628.7362,,2/29/96,955.2931,,2/29/96,1163.0403,,,,,2/28/14,879.9291,,2/28/05,726.5417
3/31/54,26.94,,,,,3/31/14,631.8973,,3/29/96,1007.6542,,3/29/96,1189.6333,,,,,3/31/14,888.6811,,3/31/05,705.7004
4/30/54,28.26,,,,,4/30/14,638.1276,,4/30/96,1044.0876,,4/30/96,1224.7368,,,,,4/30/14,895.1684,,4/29/05,665.3046
5/31/54,29.19,,,,,5/30/14,652.1543,,5/31/96,1021.5254,,5/31/96,1204.6005,,,,,5/30/14,932.3997,,5/31/05,708.8289
6/30/54,29.21,,,,,6/30/14,664.7016,,6/28/96,1041.6214,,6/28/96,1212.5342,,,,,6/30/14,954.2552,,6/30/05,736.1557
7/30/54,30.88,,,,,7/31/14,656.9123,,7/31/96,967.6873,,7/31/96,1177.2081,,,,,7/31/14,990.4455,,7/29/05,782.7823
8/31/54,29.83,,,,,8/29/14,671.6618,,8/30/96,940.3016,,8/30/96,1179.7441,,,,,8/29/14,997.4853,,8/31/05,768.227
9/30/54,32.31,,,,,9/30/14,650.1087,,9/30/96,999.9849,,9/30/96,1211.8984,,,,,9/30/14,939.064,,9/30/05,770.657
10/29/54,31.68,,,,,,,,10/31/96,952.2337,,10/31/96,1198.6328,,,,,,,,10/31/05,746.7161
11/30/54,34.24,,,,,,,,11/29/96,970.4571,,11/29/96,1245.704,,,,,,,,11/30/05,782.8597
12/31/54,35.98,,,,,,,,12/31/96,921.0754,,12/31/96,1229.0901,,,,,,,,12/30/05,779.1943
1/31/55,36.63,,,,,,,,1/31/97,858.1041,,1/31/97,1185.0783,,,,,,,,1/31/06,849.0567
2/28/55,36.76,,,,,,,,2/28/97,872.7045,,2/28/97,1203.7585,,,,,,,,2/28/06,846.687
3/31/55,36.58,,,,,,,,3/31/97,869.3895,,3/31/97,1209.9749,,,,,,,,3/31/06,887.7542
4/29/55,37.96,,,,,,,,4/30/97,923.0046,,4/30/97,1216.9599,,,,,,,,4/28/06,887.5653
5/31/55,37.91,,,,,,,,5/30/97,940.6306,,5/30/97,1298.7292,,,,,,,,5/31/06,837.7267
6/30/55,41.03,,,,,,,,6/30/97,992.3434,,6/30/97,1372.1362,,,,,,,,6/30/06,843.0333
7/29/55,43.52,,,,,,,,7/31/97,995.0382,,7/31/97,1394.1017,,,,,,,,7/31/06,815.5744
8/31/55,43.18,,,,,,,,8/29/97,922.8532,,8/29/97,1290.7072,,,,,,,,8/31/06,839.6715
9/30/55,43.67,,,,,,,,9/30/97,914.4819,,9/30/97,1363.9376,,,,,,,,9/29/06,846.7385
10/31/55,42.34,,,,,,,,10/31/97,825.6593,,10/31/97,1258.016,,,,,,,,10/31/06,895.4764
11/30/55,45.51,,,,,,,,11/28/97,821.9024,,11/28/97,1244.5078,,,,,,,,11/30/06,918.8583
12/30/55,45.48,,,,,,,,12/31/97,789.1119,,12/31/97,1254.7868,,,,,,,,12/29/06,921.8924
1/31/56,43.82,,,,,,,,1/30/98,837.7769,,1/30/98,1311.1759,,,,,,,,1/31/07,937.3039
2/29/56,45.34,,,,,,,,2/27/98,838.674,,2/27/98,1394.5614,,,,,,,,2/28/07,929.8603
3/30/56,48.48,,,,,,,,3/31/98,828.5695,,3/31/98,1439.9593,,,,,,,,3/30/07,939.8013
4/30/56,48.38,,,,,,,,4/30/98,817.15,,4/30/98,1451.9867,,,,,,,,4/30/07,956.7516
5/31/56,45.2,,,,,,,,5/29/98,809.3667,,5/29/98,1448.7439,,,,,,,,5/31/07,995.9207
6/29/56,46.97,,,,,,,,6/30/98,821.6603,,6/30/98,1461.6931,,,,,,,,6/29/07,981.5082
7/31/56,49.39,,,,,,,,7/31/98,843.0694,,7/31/98,1475.8769,,,,,,,,7/31/07,914.314
8/31/56,47.51,,,,,,,,8/31/98,729.9983,,8/31/98,1293.3326,,,,,,,,8/31/07,934.9878
9/28/56,45.35,,,,,,,,9/30/98,686.6647,,9/30/98,1254.1054,,,,,,,,9/28/07,951.0157
10/31/56,45.58,,,,,,,,10/30/98,685.946,,10/30/98,1383.7129,,,,,,,,10/31/07,978.2993
11/30/56,45.08,,,,,,,,11/30/98,756.1778,,11/30/98,1453.9875,,,,,,,,11/30/07,908.0198
12/31/56,46.67,,,,,,,,12/31/98,720.4453,,12/31/98,1510.2016,,,,,,,,12/31/07,907.2986
1/31/57,44.72,,,,,,,,1/29/99,747.6402,,1/29/99,1504.4261,,,,,,,,1/31/08,845.4064
2/28/57,43.26,,,,,,,,2/26/99,745.7754,,2/26/99,1467.6866,,,,,,,,2/29/08,814.0877
3/29/57,44.11,,,,,,,,3/31/99,850.973,,3/31/99,1532.0197,,,,,,,,3/31/08,817.4558
4/30/57,45.74,,,,,,,,4/30/99,893.0257,,4/30/99,1595.0533,,,,,,,,4/30/08,851.6718
5/31/57,47.43,,,,,,,,5/31/99,859.406,,5/31/99,1518.9055,,,,,,,,5/30/08,890.7748
6/28/57,47.37,,,,,,,,6/30/99,934.5846,,6/30/99,1579.8841,,,,,,,,6/30/08,822.2424
7/31/57,47.91,,,,,,,,7/30/99,974.1838,,7/30/99,1626.2758,,,,,,,,7/31/08,852.6375
8/30/57,45.22,,,,,,,,8/31/99,923.8308,,8/31/99,1633.0113,,,,,,,,8/29/08,883.4183
9/30/57,42.42,,,,,,,,9/30/99,953.6325,,9/30/99,1649.8495,,,,,,,,9/30/08,813.073
10/31/57,41.06,,,,,,,,10/29/99,974.3841,,10/29/99,1710.7407,,,,,,,,10/31/08,643.8602
11/29/57,41.72,,,,,,,,11/30/99,994.5678,,11/30/99,1769.6286,,,,,,,,11/28/08,567.6653
12/31/57,39.99,,,,,,,,12/31/99,1057.7503,,12/31/99,1927.6877,,,,,,,,12/31/08,600.4401
1/31/58,41.7,,,,,,,,1/31/00,1057.9386,,1/31/00,1804.0168,,,,,,,,1/30/09,533.6715
2/28/58,40.84,,,,,,,,2/29/00,1057.2474,,2/29/00,1852.234,,,,,,,,2/27/09,468.8506
3/31/58,42.1,,,,,,,,3/31/00,1071.5155,,3/31/00,1926.4394,,,,,,,,3/31/09,510.5805
4/30/58,43.44,,,,,,,,4/28/00,1043.7593,,4/28/00,1826.6668,,,,,,,,4/30/09,589.467
5/30/58,44.09,,,,,,,,5/31/00,986.5488,,5/31/00,1785.3024,,,,,,,,5/29/09,607.214
6/30/58,45.24,,,,,,,,6/30/00,1035.7467,,6/30/00,1856.5654,,,,,,,,6/30/09,616.134
7/31/58,47.19,,,,,,,,7/31/00,948.7659,,7/31/00,1778.2686,,,,,,,,7/31/09,675.4264
8/29/58,47.75,,,,,,,,8/31/00,982.7106,,8/31/00,1794.5248,,,,,,,,8/31/09,694.7913
9/30/58,50.06,,,,,,,,9/29/00,948.4702,,9/29/00,1707.5172,,,,,,,,9/30/09,734.7959
10/31/58,51.33,,,,,,,,10/31/00,902.3762,,10/31/00,1666.2056,,,,,,,,10/30/09,684.8988
11/28/58,52.48,,,,,,,,11/30/00,876.9983,,11/30/00,1603.0718,,,,,,,,11/30/09,706.2362
12/31/58,55.21,,,,,,,,12/29/00,848.8367,,12/29/00,1659.2825,,,,,,,,12/31/09,763.0277
1/30/59,55.42,,,,,,,,1/31/01,854.0645,,1/31/01,1658.4472,,,,,,,,1/29/10,734.9234
2/27/59,55.41,,,,,,,,2/28/01,822.7642,,2/28/01,1534.4386,,,,,,,,2/26/10,767.9717
3/31/59,55.44,,,,,,,,3/30/01,854.8351,,3/30/01,1432.9799,,,,,,,,3/31/10,830.2993
4/30/59,57.59,,,,,,,,4/30/01,899.7543,,4/30/01,1533.6868,,,,,,,,4/30/10,877.2849
5/29/59,58.68,,,,,,,,5/31/01,863.314,,5/31/01,1481.3422,,,,,,,,5/31/10,810.752
6/30/59,58.47,,,,,,,,6/29/01,852.2565,,6/29/01,1422.3193,,,,,,,,6/30/10,747.9689
7/31/59,60.51,,,,,,,,7/31/01,789.828,,7/31/01,1396.5604,,,,,,,,7/30/10,799.3223
8/31/59,59.6,,,,,,,,8/31/01,733.8094,,8/31/01,1361.5451,,,,,,,,8/31/10,740.163
9/30/59,56.88,,,,,,,,9/28/01,666.5461,,9/28/01,1223.4826,,,,,,,,9/30/10,832.351
10/30/59,57.52,,,,,,,,10/31/01,683.5233,,10/31/01,1255.0513,,,,,,,,10/29/10,866.4026
11/30/59,58.28,,,,,,,,11/30/01,695.0042,,11/30/01,1301.5509,,,,,,,,11/30/10,896.4506
12/31/59,59.89,,,,,,,,12/31/01,689.9956,,12/31/01,1309.3006,,,,,,,,12/31/10,967.6882
1/29/60,55.61,,,,,,,,1/31/02,649.1683,,1/31/02,1239.8082,,,,,,,,1/31/11,965.201
2/29/60,56.12,,,,,,,,2/28/02,676.3692,,2/28/02,1248.5178,,,,,,,,2/28/11,1018.1239
3/31/60,55.34,,,,,,,,3/29/02,708.7263,,3/29/02,1316.6311,,,,,,,,3/31/11,1044.4515
4/29/60,54.37,,,,,,,,4/30/02,726.5804,,4/30/02,1326.1209,,,,,,,,4/29/11,1072.0176
5/31/60,55.83,,,,,,,,5/31/02,746.0373,,5/31/02,1344.0603,,,,,,,,5/31/11,1051.9029
6/30/60,56.92,,,,,,,,6/28/02,682.9952,,6/28/02,1291.0141,,,,,,,,6/30/11,1027.5957
7/29/60,55.51,,,,,,,,7/31/02,635.0234,,7/31/02,1163.6332,,,,,,,,7/29/11,990.4755
8/31/60,56.96,,,,,,,,8/30/02,622.0285,,8/30/02,1161.2448,,,,,,,,8/31/11,904.2668
9/30/60,53.52,,,,,,,,9/30/02,610.5894,,9/30/02,1036.8812,,,,,,,,9/30/11,802.9706
10/31/60,53.39,,,,,,,,10/31/02,571.6224,,10/31/02,1092.6187,,,,,,,,10/31/11,924.4649
11/30/60,55.54,,,,,,,,11/29/02,594.5061,,11/29/02,1142.2861,,,,,,,,11/30/11,921.0672
12/30/60,58.11,,,,,,,,12/31/02,561.3175,,12/31/02,1104.0911,,,,,,,,12/30/11,927.1307
1/31/61,61.78,,,,,,,,1/31/03,544.3394,,1/31/03,1058.0781,,,,,,,,1/31/12,992.6223
2/28/61,63.44,,,,,,,,2/28/03,539.7277,,2/28/03,1033.8535,,,,,,,,2/29/12,1016.3916
3/31/61,65.06,,,,,,,,3/31/03,517.9173,,3/31/03,1014.5287,,,,,,,,3/30/12,1042.4184
4/28/61,65.31,,,,,,,,4/30/03,516.7809,,4/30/03,1114.9162,,,,,,,,4/30/12,1026.3148
